id,Q1.1
aa3f5101-f028-4a4d-8491-407298431a7e,Step 2 - 1
8bac2063-0de3-462a-bbf6-80c679524ea7,"Step 2 -  1
Step 3 -  2
Step 4 -  1
Step 5 -  2
Step 6 -  2"
a08bbd16-9b44-41ed-8f63-f7d7752bc841,Step 2 - 1
b3e3d88a-0f40-4046-95a2-3a862e36c789,Step 2 - 1
584acaaf-fa1c-4ac0-ab29-4862b214ba95,Step 2 - 1
f3e8082e-a2dd-4f93-9023-efd0a5a8f001,Step 2 - 1
402a487e-9dd6-45e2-a1b3-4819d24f6464,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
4ffee038-00a4-467a-9266-efdd4449502b,Step 2 - 1
9162f68d-65b7-4880-b588-d0804ccae090,"Step 2 - Is this article Straight news, or 'hard news'?
   2. No

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   1. Yes

Step 5 - Is this article a Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
73a645b8-10b1-44a3-989a-935a37d66497,"Step 2 - 2: No

Step 3 - 2: No

Step 4 - 1: Yes

Step 5 - 2: No

Step 6 - 2: No"
cb1f712a-ff8a-417e-994f-2f9e51673dd1,"Step 2 -  Is this article Straight news, or 'hard news'?
   1. Yes

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   1. Yes

Step 5 - Is this article a  Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
47970d6e-a9e8-4eba-b589-35dc3158d5b3,Step 2 - 1
6c0e2de3-8e22-44a2-8d93-ee16a0efbbc9,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
e0a57435-28cc-489e-ad8b-0b9c94139871,"Step 2 - 1 (Yes)

Step 3 - 2 (No)

Step 4 - 2 (No)

Step 5 - 2 (No)

Step 6 - 2 (No)"
7442ab45-1df3-4cf0-8237-391c079162d4,Step 2 - 1
f620ad74-b7b2-4269-b02e-af033a2f04b2,Step 2 - 1
3b309016-8a65-47b6-8d2b-91716ed04bc9,Step 2 - 1
2e46bc4c-a4bb-4d18-ab2b-94dc738db629,"Step 2 - 2: No

Step 3 - 2: No

Step 4 - 1: Yes

Step 5 - 2: No

Step 6 - 2: No"
d9fdc783-561b-4877-9039-8378a076b0f0,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
3359d885-019c-4804-80a3-2fd238f35f9c,Step 2 - 1
378b3ae6-a281-429e-a5c7-1ee2f060ff6f,"Step 2 - 2: No

Step 3 - 2: No

Step 4 - 1: Yes

Step 5 - 2: No

Step 6 - 2: No"
706abc7c-4eea-409c-95a1-ebbfe78c25ea,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
8b1f6eee-0ce2-4fa6-ad59-cf08abe4b612,"Step 2 - 2: No

Step 3 - 2: No

Step 4 - 1: Yes

Step 5 - 2: No

Step 6 - 2: No"
3c5ccd2b-3db0-485d-b089-77c66cef2627,"Step 2 - Is this article Straight news, or 'hard news'?
   2. No

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   2. No

Step 5 - Is this article a Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   1. Yes"
ebd7a58a-a18e-4b3f-b6c8-46329dbfb66c,Step 2 - 1
1f1e80e4-5dc0-4978-98c6-0c99fcc2137e,"Step 2 -  Is this article Straight news, or 'hard news'?
   1. Yes

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   2. No

Step 5 - Is this article a  Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   1. Yes"
af6c349c-3ed8-4afb-b31a-411cfd2f212d,Step 2 - 1
b11203bd-f942-429e-a9f5-de24de4092de,"Step 2 -  Is this article Straight news, or 'hard news'?
   1. No

Step 3 - Is this article an Editorial/opinion?
   1. Yes

Step 4 - Is this article a Feature/investigation?
   2. No

Step 5 - Is this article a  Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
1823680b-9ea2-4efa-8a3c-d18886dbd978,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
679544ad-3238-4a0b-bba8-58cd8b6304d5,Step 2 - 1
b70d6d51-ef24-4bec-8d1a-593e9c11bfb5,"Step 2 - 2. No

Step 3 - 1. Yes

Step 4 - 2. No

Step 5 - 2. No

Step 6 - 2. No"
f964e254-d60e-4509-9a03-b62d8b5f2568,"Step 2 - 1 (Yes)

Step 3 - 2 (No)

Step 4 - 2 (No)

Step 5 - 2 (No)

Step 6 - 2 (No)"
ee94ef5e-3fea-4bb5-a2b5-b3de18199d0c,"Step 2 - 2: No

Step 3 - 2: No

Step 4 - 2: No

Step 5 - 2: No

Step 6 - 1: Yes"
7a4e548a-0dbe-4d32-9e5c-754ef3520509,"Step 2 - 1 (Yes)

Step 3 - 2 (No)

Step 4 - 2 (No)

Step 5 - 2 (No)

Step 6 - 2 (No)"
47ebb569-b80a-4a6d-9f20-8c1a92f36c48,Step 2 - 1
42ae56c9-05a4-4722-9a2c-12b37c59da5e,Step 2 - 1
3069108e-db2e-49cf-a1d8-80b60a702953,Step 2 - 1
895a5931-8b45-4bcb-a432-09a37c766b52,Step 2 - 1
722d5742-9b8f-4a08-9f16-aa24d549c98d,"Step 2 -  2. No

Step 3 -  1. Yes

Step 4 -  1. Yes

Step 5 -  2. No

Step 6 -  2. No"
4acd6999-2234-43dc-ab84-53f021925268,Step 2 - 1
ae56883f-1033-44e1-8f06-5e2269ecb793,"Step 2 - Is this article Straight news, or 'hard news'?
   1. Yes

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   1. Yes

Step 5 - Is this article a Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
77644ccb-2ba6-46db-abea-6d81e09ed5af,Step 2 - 1
579677f8-35e4-4408-8bd7-e0e0f2b3a0cb,Step 2 - 1
a3f9a888-0d57-44ee-a3d3-9b2008f41a5d,Step 2 - 1
12baea85-b2f4-4537-a180-9201425bfadb,Step 2 -  1
1a759bec-1fdf-4235-9b9d-215951d73b80,Step 2 -  1
788e422c-5dc2-48a5-8b83-a5d8d2d30a67,Step 2 - 1. Yes
a0ef9bee-4d9c-4873-9754-3e92632cfa59,Step 2 - 1
d08e2b13-a709-42e0-bb16-d0c52f58ba4e,"Step 2 - Is this article Straight news, or 'hard news'?
   1. Yes

Step 3 - Is this article an Editorial/opinion?
   2. No

Step 4 - Is this article a Feature/investigation?
   1. Yes

Step 5 - Is this article a Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
802beca6-af9b-4cd9-946e-f8e72e8660cf,"Step 2 - Is this article Straight news, or 'hard news'?
   2. No

Step 3 - Is this article an Editorial/opinion?
   1. Yes

Step 4 - Is this article a Feature/investigation?
   2. No

Step 5 - Is this article a Satire?
   2. No

Step 6 - Is this article Lifestyle content, obituary, 'listicle', or other 'soft news' or gossip?
   2. No"
9f87440c-bdbc-4338-a3df-512fe1fc5ae5,Step 2 - 1
7c2985b4-d96e-442e-88a2-00811d796d16,"Step 2 -  2
Step 3 -  1
Step 4 -  2
Step 5 -  2
Step 6 -  2"
5b30e244-4aa2-4ad3-b24a-2022c1415df6,Step 2 - 1
151605d6-e5d5-4d18-b7fa-9e19cbcbf5f3,"Step 2 - 1 (Yes)

Step 3 - 2 (No)

Step 4 - 2 (No)

Step 5 - 2 (No)

Step 6 - 2 (No)"
